PIV MEASUREMENT - Optoelectronics group LDCS version 1.1.0
Tom_0.75_2,06/12/2023,09:34:45

SOURCE_INST,SOURCE_PG_GPIO_SN,SOURCE_PG_ID,SOURCE_PG_CALIB_CONSTANT,SOURCE_PG_CALIB_DATE,SOURCE_TYPE,SOURCE_PG_OSC_INST,SOURCE_PG_OSC_SN,SOURCE_PG_OSC_AVE,SOURCE_PG_OSC_SCAL,SOURCE_PG_OSC_RANG_V,SOURCE_PG_OSC_PROB_V,SOURCE_PG_OSC_UNIT_V,SOURCE_PG_OSC_RANG_I,SOURCE_PG_OSC_PROB_I,SOURCE_PG_OSC_UNIT_I,SOURCE_PG_FREQ,SOURCE_PG_OSC_AUTO,SOURCE_PG_RES,SOURCE_PG_MAX_I,SOURCE_PG_MAX_V,SOURCE_PG_CALIB,SOURCE_PG_BG_V,SOURCE_PG_BG_I,POWER_INST,POWER_INST_SN,POWER_DETECTOR,POWER_DETECTOR_SN,POWER_DETECTOR_CALIB,POWER_WL,POWER_AVE,POWER_MAX,POWER_TR,POWER_ITH,PIV_MEAS_TIME,PIV_MEAS_END
Pulse generator (digital type),100062623,Q-PG-DP,2.098,30/11/23,Pulsed,Keysight DSOX1204A Oscilloscope,CN62096236,64,+500.0E-09,+5.50E+00,+1.0000000E+00,VOLT,+1.10E+00,+2.0980000E+00,AMP,+4.95050E+03,Auto osc. on,3,1.000000,5.000000,2.098000,-0.020700,0.000290,PM100USB,1916809,S142C,221018320,18-OCT-2022,623.700000,100.000000,0.000050,TR det. off,Ith det. off,223.838,Maximum current


Current (A), Power (W), Voltage (V)
0.4968600000,0.0000001120,2.6289000000
0.4986500000,0.0000001126,2.6317000000
0.5001600000,0.0000001141,2.6332000000
0.5016500000,0.0000001126,2.6370000000
0.5034300000,0.0000001143,2.6396000000
0.5046400000,0.0000001164,2.6400000000
0.5062100000,0.0000001160,2.6423000000
0.5079800000,0.0000001186,2.6445000000
0.5094900000,0.0000001182,2.6470000000
0.5110300000,0.0000001191,2.6488000000
0.5124900000,0.0000001189,2.6517000000
0.5141000000,0.0000001213,2.6528000000
0.5156200000,0.0000001224,2.6550000000
0.5170800000,0.0000001239,2.6556000000
0.5185200000,0.0000001239,2.6588000000
0.5201900000,0.0000001259,2.6609000000
0.5216100000,0.0000001257,2.6637000000
0.5231300000,0.0000001262,2.6645000000
0.5245000000,0.0000001282,2.6668000000
0.5262200000,0.0000001302,2.6692000000
0.5278600000,0.0000001310,2.6703000000
0.5292200000,0.0000001288,2.6729000000
0.5306600000,0.0000001320,2.6759000000
0.5322300000,0.0000001352,2.6779000000
0.5337000000,0.0000001345,2.6793000000
0.5355400000,0.0000001354,2.6806000000
0.5368400000,0.0000001370,2.6833000000
0.5383300000,0.0000001363,2.6850000000
0.5398200000,0.0000001377,2.6883000000
0.5413200000,0.0000001397,2.6906000000
0.5427200000,0.0000001398,2.6913000000
0.5443100000,0.0000001409,2.6937000000
0.5453900000,0.0000001411,2.6955000000
0.5472100000,0.0000001454,2.6982000000
0.5486000000,0.0000001443,2.6977000000
0.5501500000,0.0000001453,2.7006000000
0.5516100000,0.0000001467,2.7020000000
0.5528500000,0.0000001469,2.7042000000
0.5545000000,0.0000001477,2.7060000000
0.5558500000,0.0000001507,2.7081000000
0.5574000000,0.0000001518,2.7095000000
0.5589200000,0.0000001529,2.7125000000
